_id,screen_name,sentiment,text
559f3ff7370d930c0faad69d,Minions,pos,NOTE: Tweet contains Unicode - can't show in CSV
559f3ff9370d930c0faad69e,prattprattpratt,neg,NOTE: Tweet contains Unicode - can't show in CSV
559f3ffd370d930c0faad69f,Pornhub,neg,Best asian gangbang I've ever watched. #USAvJPN
559f4000370d930c0faad6a0,jarpad,neg,SOOOOO excited for the #WorldCupFinal with @realGpad !!!! Go USA!!! #USWNT #WomensWorldCup http://t.co/ZmoxVIaBOP
559f4001370d930c0faad6a1,jimmyfallon,pos,"Wow. It's over, right? #USAVJPN #USA"
559f4003370d930c0faad6a2,cmclymer,pos,The U.S. Women just got paid 4x *LESS* to win the World Cup than the U.S. Men did to lose in the Round of 16.  #USAvsJPN #WorldCupFinal
559f4005370d930c0faad6a3,cmclymer,pos,U.S. Men got $9 million for getting to the Round of 16.  U.S. Women will get $2 million for WINNING the World Cup.  #USAvsJPN #WorldCupFinal
559f4006370d930c0faad6a4,jimmyfallon,neg,Go USA!! #USAVJPN
559f400b370d930c0faad6a6,espnW,pos,Because #Merica. #USAvJPN http://t.co/0GsUUGIJ7r
559f400c370d930c0faad6a7,Astro_Alex,neg,Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER @DFB_Team_EN! http://t.co/HP2JwNrgTw
559f400d370d930c0faad6a8,TheEllenShow,neg,10 minutes in and my score keeping hand is already tired. Go #USWNT! #USAvJPN
559f400d370d930c0faad6a9,espn,neg,"The @USNavy has caught World Cup fever, tweeting out this pic in support of the #USWNT before #USAvJPN. http://t.co/KcpqBpAqQH"
559f400e370d930c0faad6aa,ussoccer_wnt,neg,#USAvJPN is underway! #SheBelieves http://t.co/bmhtFvZgFe
559f4011370d930c0faad6ad,Habibies,neg,#Palestine: This Pic makes me cry #Gaza :'(  Please Retweet it  #PrayForGaza  #GazaUnderAttack #Israel #WorldCupFinal http://t.co/6uwbZUCoT6
559f4012370d930c0faad6ae,ussoccer_wnt,neg,#USWNT has earned six results in their 2015 @FIFAWWC campaign. Now they need just #OneMore Sunday. #USAvJPN #Believe http://t.co/5abTsT5326
559f4012370d930c0faad6af,vj44,pos,RT if you're cheering on Team #USA tonight at 7 PM ET! #USWNT #USAvJPN #SheBelieves http://t.co/dv7NFq6mgq
559f4014370d930c0faad6b1,_Snape_,neg,I think USA will win AND catch the Snitch. #USAvJPN
559f4015370d930c0faad6b2,TeamUSA,neg,THREE GOALS FOR @CarliLloyd!  4-0 #TeamUSA!!!   #USAvJPN http://t.co/IW656GjkLi
559f4017370d930c0faad6b3,Complex_Sports,neg,"Carli Lloyd, for a moment, was listed as the President of the United States on her Wikipedia page #USAvJPN http://t.co/w2AWFle5Z6"
559f4018370d930c0faad6b4,Snoopy,neg,NOTE: Tweet contains Unicode - can't show in CSV
559f401b370d930c0faad6b7,chasestrangio,neg,My kid asked if boys can play soccer too. Success! #USAvJPN
559f401c370d930c0faad6b8,ussoccer_wnt,neg,One Nation. One Team. #OneMore to get the job done. #USAvJPN 7 p.m. ET on @FOXTV &amp; @Telemundo http://t.co/niqAgxWtaa
559f401c370d930c0faad6b9,ussoccer_wnt,neg,#OneMore game to go and it's the FINAL. #USAvJPN tomorrow at 7 p.m. ET on @FOXTV &amp; @Telemundo http://t.co/NHV292KXbv
559f3ff6370d930c0faad69c,JensenAckles,neg,Congrats ladies.  You killed it!!!  What a match.  #USWNT #WorldCupFinal  @jarpad http://t.co/LPLiNuJxbO
559f4007370d930c0faad6a5,NOTSportsCenter,pos,Japan's strategy for the rest of the game:  #USAvJPN http://t.co/R6TiyCErvk
559f400f370d930c0faad6ab,ussoccer_wnt,neg,The @FIFAWWC Final is set! Look Familiar? #USAvJPN on Sunday! #Believe http://t.co/yKPRRvvWLv
559f4010370d930c0faad6ac,BleacherReport,neg,#USA goes up 4-0 as Lloyd gets a hat trick and Lauren Holiday adds to the total! #USAvJPN
559f4013370d930c0faad6b0,TeamUSA,neg,"ANOTHER GOOOAAALLLL @CarliLloyd!    2-0, #TEAMUSA      We #Believe #USAvJPN http://t.co/Il0e5AX1rw"
559f4019370d930c0faad6b5,hopesolo,neg,Last practice for the #USWNT. Tomorrow here we come! #USAvJPN #SheBelieves http://t.co/YRUXA0DYkj
559f401a370d930c0faad6b6,ussoccer_wnt,neg,#USAvJPN is in two days and the #USWNT is ready. Are you? http://t.co/DUzdjJKRFj
